USPS,GEOID,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG                                                                                                                             
GA,13059150300,6393894,139109,2.469,0.054,33.9247487,-83.4157339
GA,13059150400,14293712,433954,5.519,0.168,33.9069629,-83.3695606
GA,13059150500,5884847,181353,2.272,0.07,33.9253865,-83.3509708
GA,13059150600,3492261,96579,1.348,0.037,33.935961,-83.3355465
GA,13059150700,9126884,75845,3.524,0.029,33.9244201,-83.3051726
GA,13059150800,12073754,71637,4.662,0.028,33.9003035,-83.3174553
GA,13059150900,48148953,868949,18.59,0.336,33.8869804,-83.2932606
GA,13061960300,506035793,56605066,195.382,21.855,31.6198309,-84.9925826
GA,13063040202,9986531,91985,3.856,0.036,33.6143004,-84.415514
GA,13063040203,2908913,3884,1.123,0.001,33.6075112,-84.4529581
GA,13063040204,2736063,20884,1.056,0.008,33.5995065,-84.4429015
GA,13063040302,5683537,69936,2.194,0.027,33.6332886,-84.3719886
GA,13063040303,5793603,22678,2.237,0.009,33.6339134,-84.3515821
GA,13063040306,4368149,10953,1.687,0.004,33.6042708,-84.3869129
GA,13063040307,3064790,32418,1.183,0.013,33.59885,-84.3624905
GA,13063040308,9258767,10398,3.575,0.004,33.6341183,-84.3900028
GA,13063040407,9099874,85133,3.513,0.033,33.6071615,-84.3298311
GA,13063040408,6522965,121458,2.519,0.047,33.5909098,-84.3337717
GA,13063040409,3728510,10627,1.44,0.004,33.5926501,-84.3069096
GA,13063040410,22339246,100023,8.625,0.039,33.6280054,-84.3098711
GA,13063040411,18180179,84823,7.019,0.033,33.6048292,-84.2715699
GA,13063040412,7964837,43975,3.075,0.017,33.5707365,-84.3273936
GA,13063040413,5702063,77714,2.202,0.03,33.5702711,-84.2849454
GA,13063040414,2100135,2891,0.811,0.001,33.5862404,-84.3745625
GA,13063040415,4058822,17647,1.567,0.007,33.57246,-84.3791989
GA,13063040416,3836995,5456,1.481,0.002,33.5795255,-84.3543849
GA,13063040417,5173643,15499,1.998,0.006,33.5611096,-84.3529464
GA,13063040509,5191303,23956,2.004,0.009,33.5825232,-84.4470958
GA,13063040510,3027894,7729,1.169,0.003,33.5874245,-84.4273281
GA,13063040512,4498017,26050,1.737,0.01,33.5743855,-84.4333294
GA,13063040513,6883614,113774,2.658,0.044,33.5584721,-84.4387615
